Squad,Country,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
Auxerre,fr FRA,2,1,0,1,2,2,0,1.5,Head-to-Head
Braga,pt POR,2,1,0,1,6,2,4,1.5,Head-to-Head
Spartak Moscow,ru RUS,2,1,0,1,2,4,-2,1.5,Head-to-Head
Rennes,fr FRA,2,1,0,1,4,3,1,1.5,Head-to-Head
Köln,de GER,2,1,0,1,3,2,1,1.5,Head-to-Head
Eintracht Frankfurt,de GER,2,1,0,1,4,2,2,1.5,Head-to-Head
Carlisle United,eng ENG,2,1,0,1,3,3,0,1.0,Head-to-Head
Northampton Town,eng ENG,2,0,2,0,2,2,0,1.0,Head-to-Head
Austria Wien,at AUT,2,1,0,1,6,2,4,1.0,Head-to-Head
Fiorentina,it ITA,2,0,1,1,0,1,-1,0.5,Head-to-Head
PAOK,gr GRE,2,0,1,1,1,2,-1,0.5,Head-to-Head
Atlético Madrid,es ESP,2,0,1,1,1,2,-1,0.5,Head-to-Head
Mönchengladbach,de GER,2,0,0,2,4,6,-2,0.0,Head-to-Head
Doncaster Rovers,eng ENG,1,1,0,0,1,0,1,3.0,Head-to-Head
Athletic Club,es ESP,1,1,0,0,2,0,2,3.0,Head-to-Head
Port Vale,eng ENG,1,1,0,0,2,0,2,3.0,Head-to-Head
Sutton United,eng ENG,1,1,0,0,2,0,2,3.0,Head-to-Head
AFC Wimbledon,eng ENG,1,1,0,0,3,0,3,3.0,Head-to-Head
Girona,es ESP,1,1,0,0,2,1,1,3.0,Head-to-Head
Lincoln City,eng ENG,1,1,0,0,5,0,5,3.0,Head-to-Head
Atalanta,it ITA,1,0,1,0,0,0,0,1.0,Head-to-Head
